M_ID,Start_date,End_date,Start Date<End Date
330,13-09-1994,01-07-2005,Valid
138,18-03-1994,17-12-2009,Valid
981,20-03-1977,26-03-1995,Valid
130,15-10-2005,08-07-2009,Valid
685,11-03-1974,24-11-1983,Valid
544,02-10-2018,07-12-2038,Valid
384,25-07-2002,03-11-2014,Valid
467,15-08-1982,25-04-1993,Valid
112,13-12-2004,03-08-2006,Valid
906,29-04-2012,22-01-2023,Valid
609,07-10-1993,11-03-2002,Valid
379,11-07-2003,09-07-2011,Valid
357,07-09-1979,27-05-1982,Valid
364,11-11-2013,22-09-2022,Valid
69,10-08-1975,30-06-1986,Valid
973,02-12-2008,24-03-2026,Valid
455,08-10-1974,09-07-1988,Valid
247,02-01-1971,13-09-1982,Valid
491,19-04-2008,19-08-2021,Valid
826,01-08-2013,08-06-2024,Valid
400,15-01-2006,04-03-2020,Valid
271,24-06-2010,03-11-2029,Valid
110,11-11-2013,31-07-2022,Valid
277,14-05-2010,23-07-2017,Valid
85,20-09-1998,29-10-2018,Valid
863,20-11-2000,13-12-2008,Valid
731,20-04-1980,18-04-1986,Valid
638,21-05-2017,15-12-2023,Valid
275,02-04-1994,16-01-2004,Valid
278,29-09-1977,10-01-1987,Valid
948,22-01-2011,11-10-2016,Valid
912,02-09-1977,18-03-1979,Valid
426,04-11-2007,06-01-2025,Valid
735,12-04-1988,22-07-2002,Valid
666,24-01-1988,21-06-2007,Valid
888,09-08-2008,12-06-2010,Valid
310,24-04-1972,12-03-1982,Valid
43,06-09-1982,11-06-1995,Valid
722,23-03-1982,13-04-1997,Valid
233,04-06-1999,24-12-2015,Valid
392,15-12-1976,15-12-1978,Valid
527,27-11-1973,16-10-1981,Valid
767,07-09-1973,14-10-1976,Valid
650,03-10-1984,16-03-1991,Valid
908,15-01-2006,28-07-2024,Valid
955,29-09-1977,18-07-1992,Valid
106,19-08-2006,07-01-2013,Valid
410,10-03-2013,12-07-2032,Valid
311,25-03-2005,24-09-2019,Valid
830,24-06-2010,19-11-2026,Valid
805,29-10-1983,30-08-1987,Valid
351,11-11-2013,21-11-2026,Valid
529,12-06-1975,10-01-1983,Valid
52,14-11-2002,23-12-2022,Valid
30,27-11-2016,20-06-2029,Valid
421,24-06-2002,04-01-2014,Valid
696,23-11-1995,04-06-2000,Valid
788,14-05-2011,11-09-2013,Valid
590,25-07-2002,12-12-2010,Valid
417,25-09-2009,16-03-2023,Valid
635,07-05-1980,18-10-1987,Valid
549,26-10-1972,22-12-1989,Valid
877,15-01-2006,08-05-2020,Valid
690,04-11-2010,27-03-2015,Valid
164,19-05-1997,13-01-2008,Valid
279,18-11-1981,20-04-1989,Valid
574,06-10-2005,11-04-2021,Valid
222,12-03-1972,27-11-1989,Valid
640,11-10-2016,11-08-2027,Valid
896,01-11-2016,18-07-2021,Valid
318,31-05-1974,12-07-1987,Valid
953,04-03-2000,28-01-2016,Valid
681,13-01-2009,22-01-2020,Valid
972,31-05-2009,25-09-2023,Valid
407,09-08-1989,14-08-2007,Valid
226,24-11-1985,21-09-1994,Valid
762,21-09-2019,19-08-2025,Valid
872,04-03-2000,07-12-2014,Valid
473,29-04-1976,05-07-1994,Valid
248,16-06-2010,12-05-2020,Valid
416,16-09-2011,19-12-2025,Valid
425,04-06-2017,09-12-2019,Valid
435,07-06-1995,05-07-2009,Valid
370,14-06-1998,26-04-2016,Valid
406,04-08-1988,20-05-2007,Valid
976,10-03-2013,06-01-2014,Valid
349,20-05-2012,27-11-2017,Valid
595,18-05-1984,15-03-2000,Valid
366,23-06-1971,04-06-1975,Valid
39,13-07-1995,11-08-2009,Valid
978,17-07-1980,29-04-1982,Valid
623,15-12-1976,12-06-1985,Valid
751,24-06-2010,14-03-2016,Valid
899,09-03-1972,14-07-1982,Valid
396,30-04-1982,26-11-1996,Valid
792,02-06-2001,08-01-2014,Valid
808,17-04-2014,04-12-2033,Valid
903,25-11-2013,01-05-2017,Valid
335,19-10-1984,15-07-1996,Valid
784,06-06-1994,24-05-2008,Valid
683,18-08-2010,26-12-2026,Valid
536,05-08-2009,28-10-2014,Valid
142,03-05-2017,08-09-2022,Valid
617,14-08-1990,07-12-1993,Valid
